City,State,Latitude,Longitude,County,Zip,Country
Abbeville,GA,31.977048,-83.372515,Wilcox,31001,US
Acworth,GA,34.034515,-84.707349,Cobb,30101,US
Adairsville,GA,34.3687,-84.93411,Bartow,30103,US
Alamo,GA,32.143021,-82.82677,Wheeler,30411,US
Alapaha,GA,31.383968,-83.221348,Berrien,31622,US
Albany,GA,31.560674,-84.176751,Dougherty,31701,US
Alma,GA,31.576952,-82.461197,Bacon,31510,US
Alpharetta,GA,34.112373,-84.30205,Fulton,30004,US
Alto,GA,34.444832,-83.571657,Habersham,30510,US
Americus,GA,32.040432,-84.215282,Sumter,31709,US
Aragon,GA,34.053167,-85.079865,Polk,30104,US
Arcade,GA,34.0716252,-83.540989,Jackson,,US
Arlington,GA,31.47718,-84.699156,Calhoun,31713,US
Ashburn,GA,31.723074,-83.644063,Turner,31714,US
Atlanta,GA,33.844371,-84.47405,Fulton,30301,US
Attapulgus,GA,30.835331,-84.511949,Decatur,31715,US
Auburn,GA,34.019109,-83.826094,Barrow,30011,US
Austell,GA,33.836897,-84.630729,Cobb,30106,US
Avondale Estates,GA,33.77149,-84.26714,DeKalb,30002,US
Bainbridge,GA,30.888734,-84.617836,Decatur,31717,US
Ball Ground,GA,34.33815,-84.37659,Cherokee,30107,US
Baxley,GA,31.756861,-82.350837,Appling,31513,US
Blackshear,GA,31.326324,-82.271206,Pierce,31516,US
Blairsville,GA,34.867512,-83.967636,Union,30512,US
Blakely,GA,31.346088,-84.901178,Early,31723,US
Bloomingdale,GA,32.107103,-81.291335,Chatham,31302,US
Blue Ridge,GA,34.831246,-84.331339,Fannin,30513,US
Blythe,GA,33.29264,-82.20151,Richmond,30805,US
Bowdon,GA,33.53789,-85.25328,Carroll,30108,US
Braselton,GA,34.10927,-83.76267,Jackson,30517,US
Braswell,GA,33.989268,-84.963,Paulding,30153,US
Bremen,GA,33.767997,-85.172928,Haralson,30110,US
Brookhaven,GA,33.865105,-84.336594,DeKalb,,US
Brooklet,GA,32.352307,-81.6571,Bulloch,30415,US
Brunswick,GA,31.180919,-81.493973,Glynn,31520,US
Buchanan,GA,33.836682,-85.210444,Haralson,30113,US
Byron,GA,32.618051,-83.788976,Peach,31008,US
Cairo,GA,30.857503,-84.22903,Grady,31728,US
Camilla,GA,31.249152,-84.242837,Mitchell,31730,US
Canon,GA,34.355933,-83.152947,Franklin,30520,US
Canton,GA,34.250547,-84.49093,Cherokee,30114,US
Carrollton,GA,33.604458,-85.04987,Carroll,30116,US
Cave Spring,GA,34.1076,-85.33634,Floyd,30124,US
Cedartown,GA,33.998841,-85.239429,Polk,30125,US
Centerville,GA,32.627198,-83.695724,Houston,31028,US
Chatsworth,GA,34.785543,-84.771623,Murray,30705,US
Chattahoochee Hills,GA,34.600098,-83.516282,Habersham,30523,US
Chickamauga,GA,34.76416,-85.353517,Walker,30707,US
Clarkesville,GA,34.655918,-83.508274,Habersham,30523,US
Clarkston,GA,33.810953,-84.23797,DeKalb,30021,US
Claxton,GA,32.160611,-81.923832,Evans,30417,US
Clayton,GA,34.886868,-83.375358,Rabun,30525,US
Cleveland,GA,34.610466,-83.74615,White,30528,US
Cochran,GA,32.383904,-83.321095,Bleckley,31014,US
College Park,GA,33.653443,-84.449373,Clayton,30337,US
Colquitt,GA,31.16251,-84.713359,Miller,31737,US
Commerce,GA,34.217179,-83.482653,Jackson,30529,US
Coolidge,GA,30.976287,-83.871284,Thomas,31738,US
Cordele,GA,31.917178,-83.785365,Crisp,31010,US
Cornelia,GA,34.535213,-83.574032,Habersham,30531,US
Covington,GA,33.529341,-83.849622,Newton,30014,US
Cuthbert,GA,31.731183,-84.832234,Randolph,31740,US
Dallas,GA,33.935396,-84.866654,Paulding,30132,US
Dalton,GA,34.801861,-84.989796,Whitfield,30719,US
Danielsville,GA,34.152968,-83.262772,Madison,30633,US
Darien,GA,31.413831,-81.369263,McIntosh,31305,US
Davisboro,GA,32.968449,-82.648357,Washington,31018,US
Dawson,GA,31.76615,-84.438586,Terrell,31742,US
Decatur,GA,33.772554,-84.291723,DeKalb,30030,US
Demorest,GA,34.573483,-83.575411,Habersham,30535,US
Dillard,GA,34.97009,-83.3871,Rabun,30537,US
Doerun,GA,31.31963,-83.91712,Colquitt,31744,US
Donalsonville,GA,30.918229,-84.867238,Seminole,31745,US
Doraville,GA,33.898158,-84.283256,DeKalb,30340,US
Douglasville,GA,33.68966,-84.744595,Douglas,30133,US
Dublin,GA,32.459291,-82.938121,Laurens,31021,US
Duluth,GA,33.962979,-84.092267,Gwinnett,30026,US
Dunwoody,GA,33.946213,-84.334647,DeKalb,30338,US
East Ellijay,GA,34.658482,-84.493207,Gilmer,30539,US
Eastman,GA,32.143564,-83.194358,Dodge,31023,US
East Point,GA,33.679553,-84.439372,Fulton,30344,US
Eatonton,GA,33.320818,-83.355865,Putnam,31024,US
Edison,GA,31.506869,-84.721045,Calhoun,31746,US
Elberton,GA,34.129737,-82.840971,Elbert,30635,US
Ellaville,GA,32.209028,-84.277064,Schley,31806,US
Ellijay,GA,34.69481,-84.48215,Gilmer,30540,US
Emerson,GA,34.118352,-84.762315,Bartow,30137,US
Eton,GA,34.78783,-84.777863,Murray,30724,US
Fairburn,GA,33.591462,-84.608907,Fulton,30213,US
Fayetteville,GA,33.467941,-84.480626,Fayette,30214,US
Fitzgerald,GA,31.748753,-83.235412,Ben Hill,31750,US
Flowery Branch,GA,34.1851,-83.92518,Hall,30542,US
Folkston,GA,30.855314,-82.027252,Charlton,31537,US
Forest Park,GA,33.611509,-84.374496,Clayton,30297,US
Forsyth,GA,33.025944,-83.915021,Monroe,31029,US
Fort Oglethorpe,GA,34.94896,-85.2569,Catoosa,30742,US
Fort Valley,GA,32.560698,-83.854528,Peach,31030,US
Franklin,GA,33.278005,-85.134045,Heard,30217,US
Franklin Springs,GA,34.274306,-83.147024,Franklin,30639,US
Gainesville,GA,34.334398,-83.837912,Hall,30501,US
Glennville,GA,32.066649,-82.012344,Tattnall,30427,US
Gordon,GA,32.881267,-83.302945,Wilkinson,31031,US
Graham,GA,31.77705,-82.347726,Appling,31513,US
Grantville,GA,33.23484,-84.83577,Coweta,30220,US
Gray,GA,32.991607,-83.567362,Jones,31032,US
Greensboro,GA,33.560655,-83.193389,Greene,30642,US
Greenville,GA,33.046754,-84.740188,Meriwether,30222,US
Griffin,GA,33.265854,-84.289552,Spalding,30223,US
Grovetown,GA,33.466721,-82.213991,Columbia,30813,US
Hagan,GA,32.15603,-81.93373,Evans,30429,US
Hahira,GA,30.942022,-83.333206,Lowndes,31632,US
Hampton,GA,33.408112,-84.273764,Henry,30228,US
Hapeville,GA,33.660109,-84.410205,Fulton,30354,US
Harlem,GA,33.456131,-82.307337,Columbia,30814,US
Hartwell,GA,34.361177,-82.941703,Hart,30643,US
Hazlehurst,GA,31.806871,-82.626991,Jeff Davis,31539,US
Helen,GA,34.729196,-83.720937,White,30545,US
Hiawassee,GA,34.906339,-83.72739,Towns,30546,US
Hinesville,GA,31.806832,-81.437074,Liberty,31310,US
Hiram,GA,33.87566,-84.76216,Paulding,30141,US
Hoboken,GA,31.178954,-82.123686,Brantley,31542,US
Hogansville,GA,33.144151,-84.960566,Troup,30230,US
Holly Springs,GA,34.242944,-84.458326,Cherokee,30142,US
Homeland,GA,31.8317,-82.605344,Charlton,31539,US
Homerville,GA,31.050929,-82.76133,Clinch,31634,US
Irwinton,GA,32.751414,-83.145237,Wilkinson,31042,US
Ivey,GA,32.907088,-83.290715,Wilkinson,31031,US
Jackson,GA,33.319863,-83.981112,Butts,30233,US
Jacksonville,GA,31.83245,-82.977178,Telfair,31544,US
Jasper,GA,34.469042,-84.428243,Pickens,30143,US
Jefferson,GA,34.10601,-83.589021,Jackson,30549,US
Jesup,GA,31.600775,-81.957787,Wayne,31545,US
Johns Creek,GA,31.633829,-81.480107,McIntosh,31323,US
Jonesboro,GA,33.518505,-84.337523,Clayton,30236,US
Kennesaw,GA,34.03384,-84.597433,Cobb,30144,US
Kingston,GA,34.233908,-84.962055,Bartow,30145,US
LaFayette,GA,34.697006,-85.255273,Walker,30728,US
LaGrange,GA,33.024347,-85.073906,Troup,30240,US
Lake City,GA,33.6064989,-84.3352017,Clayton,,US
Lake Park,GA,30.68215,-83.17959,Lowndes,31636,US
Lavonia,GA,34.408031,-83.144241,Franklin,30553,US
Leary,GA,31.484266,-84.513659,Calhoun,31762,US
Leslie,GA,32.000148,-84.088354,Sumter,31764,US
Lilburn,GA,33.865587,-84.072463,Gwinnett,30047,US
Locust Grove,GA,33.372111,-84.115645,Henry,30248,US
Loganville,GA,33.876889,-83.896781,Gwinnett,30052,US
Lookout Mountain,GA,34.93473,-85.384631,Walker,30750,US
Louisville,GA,33.028798,-82.437965,Jefferson,30434,US
Ludowici,GA,31.780996,-81.773916,Long,31316,US
Lumber City,GA,31.931373,-82.682963,Telfair,31549,US
Lumpkin,GA,32.069538,-84.728093,Stewart,31815,US
Lyons,GA,32.129147,-82.330546,Toombs,30436,US
Madison,GA,33.591117,-83.492928,Morgan,30650,US
Manchester,GA,32.91107,-84.615478,Meriwether,31816,US
Marietta,GA,33.912473,-84.557181,Cobb,30006,US
Maysville,GA,34.329372,-83.543357,Banks,30558,US
McDonough,GA,33.476762,-84.055005,Henry,30252,US
McIntyre,GA,32.886524,-83.231724,Wilkinson,31054,US
Metter,GA,32.39938,-82.048201,Candler,30439,US
Midville,GA,32.926431,-82.172337,Burke,30441,US
Midway,GA,31.778847,-81.420626,Liberty,31320,US
Milledgeville,GA,33.072279,-83.239008,Baldwin,31061,US
Millen,GA,32.779376,-81.973904,Jenkins,30442,US
Milton,GA,34.1321631,-84.300666,Fulton,,
Molena,GA,33.022288,-84.436925,Pike,30258,US
Monroe,GA,33.788322,-83.701264,Walton,30655,US
Montezuma,GA,32.305158,-84.027407,Macon,31063,US
Morrow,GA,33.58016,-84.326757,Clayton,30260,US
Moultrie,GA,31.183438,-83.789698,Colquitt,31768,US
Mountain City,GA,34.91815,-83.38544,Rabun,30562,US
Mount Airy,GA,34.51871,-83.50073,Habersham,30563,US
Mount Zion,GA,33.643002,-85.181782,Carroll,30150,US
Nahunta,GA,31.158299,-81.954478,Brantley,31553,US
Nashville,GA,31.199826,-83.218233,Berrien,31639,US
Newnan,GA,33.369595,-84.819397,Coweta,30263,US
Newton,GA,31.37168,-84.338325,Baker,31770,US
Norcross,GA,33.960353,-84.037859,Gwinnett,30003,US
Norman Park,GA,31.246179,-83.654904,Colquitt,31771,US
Oak Park,GA,32.599617,-82.352576,Emanuel,30401,US
Oakwood,GA,34.239428,-83.897612,Hall,30566,US
Ocilla,GA,31.571754,-83.269632,Irwin,31774,US
Oglethorpe,GA,32.327479,-84.101472,Macon,31068,US
Omega,GA,31.34102,-83.5935,Tift,31775,US
Oxford,GA,33.670567,-83.874013,Newton,30054,US
Palmetto,GA,33.559191,-84.710082,Fulton,30268,US
Peachtree City,GA,33.395759,-84.568173,Fayette,30269,US
Pelham,GA,31.12768,-84.15185,Mitchell,31779,US
Pembroke,GA,32.13603,-81.62206,Bryan,31321,US
Pine Lake,GA,33.790606,-84.205269,DeKalb,30072,US
Pine Mountain,GA,32.834241,-84.904638,Harris,31822,US
Plains,GA,32.027663,-84.37249,Sumter,31780,US
Pooler,GA,32.11548,-81.24706,Chatham,31322,US
Port Wentworth,GA,32.039413,-81.179127,Chatham,31405,US
Powder Springs,GA,33.91351,-84.685885,Cobb,30127,US
Ray City,GA,31.083619,-83.228709,Berrien,31645,US
Remerton,GA,30.84409,-83.310431,Lowndes,31601,US
Reynolds,GA,32.551695,-84.092715,Taylor,31076,US
Rincon,GA,32.285205,-81.287526,Effingham,31326,US
Ringgold,GA,34.888709,-85.118699,Catoosa,30736,US
Roberta,GA,32.687207,-84.010581,Crawford,31078,US
Rochelle,GA,31.948411,-83.453578,Wilcox,31079,US
Rockmart,GA,33.993766,-85.091511,Polk,30153,US
Rossville,GA,34.98313,-85.28607,Walker,30741,US
Roswell,GA,34.055198,-84.370475,Fulton,30075,US
Sandersville,GA,32.974982,-82.840564,Washington,31082,US
Sandy Springs,GA,33.924269,-84.378538,Fulton,30328,US
Sardis,GA,32.97516,-81.75761,Burke,30456,US
Savannah-Chatham Metropolitan,GA,32.0010553,-81.15775,Chatham,,US
Senoia,GA,33.285373,-84.602516,Coweta,30276,US
Shiloh,GA,32.791278,-84.733595,Harris,31826,US
Smyrna,GA,33.869656,-84.498844,Cobb,30080,US
Snellville,GA,33.817803,-84.022911,Gwinnett,30039,US
Social Circle,GA,33.679092,-83.683477,Walton,30025,US
Sparks,GA,31.212878,-83.412143,Cook,31647,US
Sparta,GA,33.257068,-83.08922,Hancock,31087,US
Springfield,GA,32.369703,-81.361775,Effingham,31329,US
Statesboro,GA,32.425,-81.784956,Bulloch,30458,US
Statham,GA,33.980323,-83.590148,Barrow,30666,US
Stone Mountain,GA,33.797412,-84.197984,DeKalb,30083,US
Summerville,GA,34.484159,-85.315546,Chattooga,30747,US
Suwanee,GA,34.042479,-84.026171,Gwinnett,30024,US
Swainsboro,GA,32.569871,-82.346181,Emanuel,30401,US
Sylvania,GA,32.743851,-81.628687,Screven,30467,US
Talbotton,GA,32.673738,-84.537989,Talbot,31827,US
Tallapoosa,GA,33.770057,-85.261585,Haralson,30176,US
Temple,GA,33.73746,-85.026107,Carroll,30179,US
Tennille,GA,32.873449,-82.782879,Washington,31089,US
Thomaston,GA,32.884509,-84.336486,Upson,30286,US
Thomasville,GA,30.853592,-83.888269,Thomas,31757,US
Thunderbolt,GA,32.033545,-81.049834,Chatham,31404,US
Toccoa,GA,34.554103,-83.288828,Stephens,30577,US
Toomsboro,GA,32.806595,-83.066814,Wilkinson,31090,US
Trenton,GA,34.871687,-85.50208,Dade,30752,US
Tunnel Hill,GA,34.875416,-85.050047,Whitfield,30755,US
Tybee Island,GA,32.00593,-80.855322,Chatham,31328,US
Tyrone,GA,33.460036,-84.585773,Fayette,30290,US
Uvalda,GA,32.028823,-82.516246,Montgomery,30473,US
Vidalia,GA,32.198683,-82.39208,Toombs,30474,US
Vienna,GA,32.115981,-83.791644,Dooly,31092,US
Villa Rica,GA,33.705546,-84.975668,Carroll,30180,US
Wadley,GA,32.863678,-82.407516,Jefferson,30477,US
Warm Springs,GA,32.906319,-84.716723,Meriwether,31830,US
Warner Robins,GA,32.580403,-83.653003,Houston,31088,US
Warrenton,GA,33.406118,-82.641067,Warren,30828,US
Warwick,GA,31.83101,-83.91879,Worth,31796,US
Waverly Hall,GA,32.68347,-84.73826,Harris,31831,US
Waycross,GA,31.224262,-82.359628,Ware,31501,US
Waynesboro,GA,33.080724,-81.986767,Burke,30830,US
West Point,GA,32.907328,-85.077535,Troup,31833,US
Willacoochee,GA,31.361682,-82.968235,Atkinson,31650,US
Winterville,GA,33.930735,-83.292152,Clarke,30683,US
Woodstock,GA,34.127398,-84.481787,Cherokee,30188,US
Wrens,GA,33.192426,-82.361546,Jefferson,30833,US
Zebulon,GA,33.077371,-84.321736,Pike,30295,US